Player,Points Per Game,Assists Per Game,Rebounds Per Game,Steals Per Game,Blocks Per Game,Field Goal %,Three Point %,Free Throw %,Minutes Per Game
Precious Achiuwa,0.2973856209150327,0.10185185185185186,0.44217687074829937,0.2,0.21428571428571427,0.439,0.359,0.595,0.5317647058823529
Steven Adams,0.2254901960784314,0.31481481481481477,0.6802721088435375,0.36000000000000004,0.28571428571428575,0.547,0.0,0.543,0.5952941176470588
Bam Adebayo,0.6241830065359478,0.31481481481481477,0.6870748299319728,0.5599999999999999,0.28571428571428575,0.557,0.0,0.753,0.7435294117647059
Santi Aldama,0.13398692810457516,0.06481481481481481,0.18367346938775514,0.08000000000000002,0.10714285714285714,0.402,0.125,0.625,0.24235294117647058
LaMarcus Aldridge,0.42156862745098045,0.08333333333333333,0.3741496598639456,0.12,0.35714285714285715,0.55,0.304,0.873,0.5011764705882352
Nickeil Alexander-Walker,0.3464052287581699,0.2222222222222222,0.19727891156462588,0.27999999999999997,0.14285714285714288,0.372,0.311,0.743,0.508235294117647
Nickeil Alexander-Walker,0.4183006535947713,0.25925925925925924,0.22448979591836735,0.32000000000000006,0.14285714285714288,0.375,0.311,0.722,0.5952941176470588
Nickeil Alexander-Walker,0.11437908496732027,0.10185185185185186,0.10204081632653061,0.12,0.10714285714285714,0.333,0.303,0.917,0.20941176470588235
Grayson Allen,0.3627450980392157,0.1388888888888889,0.23129251700680273,0.27999999999999997,0.10714285714285714,0.448,0.409,0.865,0.6188235294117647
Jarrett Allen,0.5261437908496733,0.14814814814814814,0.7346938775510206,0.32000000000000006,0.4642857142857143,0.677,0.1,0.708,0.736470588235294
Jose Alvarado,0.19934640522875818,0.25925925925925924,0.1292517006802721,0.52,0.03571428571428572,0.446,0.291,0.679,0.33882352941176475
Justin Anderson,0.20915032679738566,0.19444444444444445,0.19727891156462588,0.2,0.14285714285714288,0.379,0.254,0.789,0.4423529411764706
Justin Anderson,0.14052287581699346,0.18518518518518517,0.1360544217687075,0.12,0.0,0.5,0.333,0.75,0.3458823529411764
Justin Anderson,0.22222222222222224,0.19444444444444445,0.2108843537414966,0.2,0.17857142857142858,0.368,0.245,0.8,0.46352941176470586
Kyle Anderson,0.24836601307189543,0.25,0.36054421768707484,0.44000000000000006,0.25,0.446,0.33,0.638,0.48235294117647054
Giannis Antetokounmpo,0.9771241830065359,0.537037037037037,0.7891156462585035,0.44000000000000006,0.5,0.553,0.293,0.722,0.7505882352941176
Thanasis Antetokounmpo,0.11764705882352942,0.046296296296296294,0.14285714285714288,0.12,0.10714285714285714,0.547,0.143,0.63,0.20941176470588235
Carmelo Anthony,0.43464052287581706,0.09259259259259259,0.28571428571428575,0.27999999999999997,0.28571428571428575,0.441,0.375,0.83,0.5882352941176471
Cole Anthony,0.5326797385620916,0.5277777777777778,0.3673469387755103,0.27999999999999997,0.10714285714285714,0.391,0.338,0.854,0.7223529411764705
OG Anunoby,0.5588235294117648,0.24074074074074073,0.3741496598639456,0.6000000000000001,0.17857142857142858,0.443,0.363,0.754,0.8235294117647058
Ryan Arcidiacono,0.052287581699346414,0.037037037037037035,0.054421768707483,0.04000000000000001,0.0,0.5,0.444,0.0,0.1552941176470588
Trevor Ariza,0.13071895424836602,0.10185185185185186,0.23129251700680273,0.2,0.10714285714285714,0.333,0.27,0.556,0.4305882352941176
