Player,Goals Per Game,Assists Per Game,Shot Conversion Rate,Tackles Per Game,Interceptions Per Game
Bernd Leno,,0.0,0.0,,
Matt Macey,,0.0,0.0,,
RÃºnar Alex RÃºnarsson,,0.0,0.0,,
HÃ©ctor BellerÃ­n,,0.21428571428571427,0.0,0.22291666666666665,0.325
Kieran Tierney,,0.011904761904761904,0.0,0.21875,0.1875
William Saliba,,0.0,0.0,,
Sokratis,,0.023809523809523808,0.0,0.2537878787878788,0.24431818181818182
Rob Holding,,0.0,0.0,0.2032520325203252,0.32926829268292684
Shkodran Mustafi,,0.047619047619047616,0.0,0.33164983164983164,0.49242424242424243
Calum Chambers,,0.03571428571428571,0.0,0.3081534772182254,0.4442446043165468
David Luiz,,0.08333333333333333,0.0,0.20618556701030927,0.44329896907216493
Sead Kolasinac,,0.13095238095238093,0.0,0.2393162393162393,0.23076923076923078
Gabriel MagalhÃ£es,,0.0,0.0,0.16666666666666666,0.25
Mesut Ãzil,0.0031578947368421048,0.6428571428571428,5.9866962305986706e-05,0.14583333333333331,0.10190217391304347
Lucas Torreira,0.0008771929824561404,0.03571428571428571,7.41106719367589e-05,0.25396825396825395,0.2976190476190476
Ainsley Maitland-Niles,0.0003508771929824561,0.03571428571428571,9.740259740259742e-05,0.3117283950617284,0.28703703703703703
Mohamed Elneny,0.8245614035087718,0.03571428571428571,0.0728305785123967,0.2021276595744681,0.21808510638297873
Joseph Willock,0.0005263157894736842,0.011904761904761904,0.00011363636363636365,0.1515151515151515,0.045454545454545456
Matteo Guendouzi,1.0,0.011904761904761904,0.14393939393939395,0.2192982456140351,0.25877192982456143
Emile Smith Rowe,0.03508771929824561,0.0,0.0,0.08333333333333333,0.125
Granit Xhaka,0.0010526315789473684,0.15476190476190477,2.8409090909090912e-05,0.3207070707070707,0.2518939393939394
Bukayo Saka,0.0007017543859649122,0.05952380952380952,0.00018181818181818183,0.2142857142857143,0.10714285714285714
Dani Ceballos,0.45614035087719296,0.03571428571428571,0.12662337662337664,0.3141025641025641,0.3557692307692308
